# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 relative abundance in experiment E-PROT-100
# Selected columns: 2 (all)
# Timestamp: Fri, 20-Dec-2024 11:49:19
Gene ID	Gene Name	normal tissue adjacent to tumor	tumor
ENSG00000102265	TIMP1		888806.0
ENSG00000102309	PIN4	35432.0	19812.0
ENSG00000102317	RBM3	44720.0	16099.0
ENSG00000102390	PBDC1	2778.0	105436.0
ENSG00000102393	GLA	407.0	2166.0
ENSG00000102547	CAB39L		989.0
ENSG00000102572	STK24		18006.0
ENSG00000102575	ACP5		8576.0
ENSG00000102580	DNAJC3	11207.0	17139.0
ENSG00000102606	ARHGEF7	361.0	1194.0
ENSG00000102699	PARP4		9797.0
ENSG00000102738	MRPS31		1362.0
ENSG00000102753	KPNA3		4034.0
ENSG00000102837	OLFM4		12062.0
ENSG00000102879	CORO1A	134125.0	372657.0
ENSG00000102882	MAPK3	2261.0	11376.0
ENSG00000102898	NUTF2	5906.0	154661.0
ENSG00000102900	NUP93		1830.0
ENSG00000102978	POLR2C		1677.0
ENSG00000103024	NME3	3291.0	7185.0
ENSG00000103035	PSMD7	22158.0	27581.0
ENSG00000103043	VAC14	3085.0	3503.0
ENSG00000103051	COG4		376.0
ENSG00000103150	MLYCD	28898.0	
ENSG00000103187	COTL1	404775.0	647948.0
ENSG00000103194	USP10	3543.0	5167.0
ENSG00000103266	STUB1	11796.0	5657.0
ENSG00000103274	NUBP1	7943.0	14049.0
ENSG00000103275	UBE2I	67048.0	305808.0
ENSG00000103316	CRYM	94176.0	
ENSG00000103353	UBFD1	25251.0	
ENSG00000103363	ELOB	68168.0	126917.0
ENSG00000103381	CPPED1	545489.0	157921.0
ENSG00000103485	QPRT	1089934.0	249607.0
ENSG00000103490	PYCARD		13200.0
ENSG00000103507	BCKDK		2987.0
ENSG00000103510	KAT8	743.0	4676.0
ENSG00000103549	RNF40	75528.0	72939.0
ENSG00000103591	AAGAB	1930.0	3226.0
ENSG00000103653	CSK	13542.0	16390.0
ENSG00000103811	CTSH	17457.0	24931.0
ENSG00000103876	FAH	3120442.0	349595.0
ENSG00000103966	EHD4	11637.0	36268.0
ENSG00000104131	EIF3J	13764.0	42151.0
ENSG00000104267	CA2	2172600.0	374343.0
ENSG00000104324	CPQ	8831.0	
ENSG00000104325	DECR1	651227.0	327248.0
ENSG00000104408	EIF3E	7836.0	53974.0
ENSG00000104412	EMC2		9122.0
ENSG00000104413	ESRP1		4916.0
ENSG00000104419	NDRG1	39061.0	102729.0
ENSG00000104442	ARMC1	5596.0	
ENSG00000104537	ANXA13	8866.0	36010.0
ENSG00000104687	GSR	269268.0	163105.0
ENSG00000104695	PPP2CB	36792.0	95567.0
ENSG00000104738	MCM4		3059.0
ENSG00000104763	ASAH1	19788.0	85166.0
ENSG00000104805	NUCB1	53630.0	79326.0
ENSG00000104812	GYS1	4303.0	
ENSG00000104852	SNRNP70	27833.0	22131.0
ENSG00000104889	RNASEH2A		2826.0
ENSG00000104897	SF3A2		13347.0
ENSG00000104951	IL4I1		638.0
ENSG00000104969	SGTA	55221.0	69978.0
ENSG00000104980	TIMM44		1240.0
ENSG00000105063	PPP6R1		2582.0
ENSG00000105141	CASP14	6315.0	9093.0
ENSG00000105185	PDCD5	165887.0	115678.0
ENSG00000105193	RPS16	333147.0	743568.0
ENSG00000105221	AKT2	2489.0	2719.0
ENSG00000105223	PLD3	21256.0	12659.0
ENSG00000105245	NUMBL		719.0
ENSG00000105254	TBCB	18378.0	59953.0
ENSG00000105281	SLC1A5		18818.0
ENSG00000105289	TJP3	2390.0	1117.0
ENSG00000105323	HNRNPUL1	1984.0	32574.0
ENSG00000105355	PLIN3	58941.0	66134.0
ENSG00000105357	MYH14	2723.0	55274.0
ENSG00000105364	MRPL4		3212.0
ENSG00000105372	RPS19	305154.0	339471.0
ENSG00000105379	ETFB	536051.0	184285.0
ENSG00000105388	CEACAM5	41583.0	799686.0
ENSG00000105398	SULT2A1	597948.0	90003.0
ENSG00000105401	CDC37	205959.0	329790.0
ENSG00000105402	NAPA	28904.0	33432.0
ENSG00000105472	CLEC11A		6797.0
ENSG00000105514	RAB3D	12554.0	30968.0
ENSG00000105518	TMEM205	23486.0	
ENSG00000105568	PPP2R1A	56835.0	126705.0
ENSG00000105607	GCDH	5791.0	1868.0
ENSG00000105612	DNASE2	10050.0	31568.0
ENSG00000105640	RPL18A	92202.0	417399.0
ENSG00000105655	ISYNA1	6840.0	6380.0
ENSG00000105664	COMP	648.0	43176.0
ENSG00000105669	COPE	31206.0	43433.0
ENSG00000105676	ARMC6	22733.0	
ENSG00000105699	LSR		6649.0
ENSG00000105701	FKBP8		1318.0
ENSG00000105726	ATP13A1		489.0
ENSG00000105755	ETHE1	11448.0	152035.0
ENSG00000105778	AVL9		750.0
ENSG00000105819	PMPCB		10809.0
ENSG00000105821	DNAJC2		1298.0
ENSG00000105835	NAMPT	229439.0	164491.0
ENSG00000105852	PON3	37857.0	
ENSG00000105854	PON2	11087.0	
ENSG00000105887	MTPN	758232.0	753675.0
ENSG00000105939	ZC3HAV1	143.0	1931.0
ENSG00000105953	OGDH		3017.0
ENSG00000105963	ADAP1		1156.0
ENSG00000105976	MET		181.0
ENSG00000106049	HIBADH	195933.0	56064.0
ENSG00000106077	ABHD11		13818.0
ENSG00000106105	GARS1	25155.0	53554.0
ENSG00000106153	CHCHD2	49209.0	168342.0
ENSG00000106211	HSPB1	148156.0	294002.0
ENSG00000106244	PDAP1	198727.0	143513.0
ENSG00000106245	BUD31	12047.0	4985.0
ENSG00000106258	CYP3A5	10725.0	
ENSG00000106263	EIF3B	27376.0	36234.0
ENSG00000106268	NUDT1	50816.0	
ENSG00000106305	AIMP2	19554.0	38186.0
ENSG00000106333	PCOLCE	4676.0	378722.0
ENSG00000106344	RBM28		506.0
ENSG00000106348	IMPDH1		3772.0
ENSG00000106351	AGFG2	2231.0	
ENSG00000106367	AP1S1	24675.0	20215.0
ENSG00000106397	PLOD3		12053.0
ENSG00000106399	RPA3	13607.0	15122.0
ENSG00000106483	SFRP4		34434.0
ENSG00000106538	RARRES2	17112.0	26908.0
ENSG00000106541	AGR2		2079550.0
ENSG00000106554	CHCHD3		2264.0
ENSG00000106588	PSMA2	166844.0	38928.0
ENSG00000106605	BLVRA	14933.0	62059.0
ENSG00000106615	RHEB		9086.0
ENSG00000106624	AEBP1	1518.0	146967.0
ENSG00000106628	POLD2		3032.0
ENSG00000106636	YKT6	4748.0	24383.0
ENSG00000106638	TBL2	1090.0	1245.0
ENSG00000106665	CLIP2	14893.0	103015.0
ENSG00000106682	EIF4H	172740.0	199405.0
ENSG00000106733	NMRK1	7856.0	
ENSG00000106803	SEC61B	54645.0	
ENSG00000106804	C5	15525.0	175197.0
ENSG00000106809	OGN	6896.0	6548.0
ENSG00000106853	PTGR1	3915032.0	613181.0
ENSG00000106927	AMBP	366154.0	768063.0
ENSG00000106992	AK1	367016.0	399246.0
ENSG00000107021	TBC1D13	6080.0	
ENSG00000107164	FUBP3	6154.0	6073.0
ENSG00000107186	MPDZ	1309.0	
ENSG00000107201	DDX58		2386.0
ENSG00000107223	EDF1	63270.0	19911.0
ENSG00000107317	PTGDS		22966.0
ENSG00000107438	PDLIM1	323583.0	287744.0
ENSG00000107537	PHYH	14468.0	
ENSG00000107566	ERLIN1		1828.0
ENSG00000107581	EIF3A	34366.0	60848.0
ENSG00000107651	SEC23IP	3062.0	3058.0
ENSG00000107719	PALD1		1259.0
ENSG00000107902	LHPP	497948.0	73378.0
ENSG00000107929	LARP4B		672.0
ENSG00000107949	BCCIP		1378.0
ENSG00000107959	PITRM1		1819.0
ENSG00000108010	GLRX3	29972.0	74278.0
ENSG00000108039	XPNPEP1	30937.0	63021.0
ENSG00000108055	SMC3		4286.0
ENSG00000108064	TFAM	4643.0	41492.0
ENSG00000108091	CCDC6		7376.0
ENSG00000108094	CUL2		407.0
ENSG00000108107	RPL28	116815.0	158524.0
ENSG00000108179	PPIF	20103.0	9196.0
ENSG00000108187	PBLD	300982.0	37360.0
ENSG00000108298	RPL19	267453.0	171472.0
ENSG00000108312	UBTF	2741.0	4794.0
ENSG00000108344	PSMD3	53145.0	52091.0
ENSG00000108424	KPNB1	21242.0	44806.0
ENSG00000108439	PNPO	386010.0	90995.0
ENSG00000108465	CDK5RAP3	2887.0	3058.0
ENSG00000108468	CBX1	1628.0	29253.0
ENSG00000108479	GALK1	793957.0	165778.0
ENSG00000108515	ENO3	399628.0	23685.0
ENSG00000108518	PFN1	6513330.0	9128082.0
ENSG00000108559	NUP88		865.0
ENSG00000108561	C1QBP	18520.0	20238.0
ENSG00000108578	BLMH	4015.0	5797.0
ENSG00000108587	GOSR1		454.0
ENSG00000108592	FTSJ3		1289.0
ENSG00000108639	SYNGR2		66911.0
ENSG00000108651	UTP6		203.0
ENSG00000108654	DDX5	2796.0	23125.0
ENSG00000108671	PSMD11	66526.0	61561.0
ENSG00000108679	LGALS3BP	6373.0	371697.0
ENSG00000108774	RAB5C	75051.0	235339.0
ENSG00000108821	COL1A1	4066.0	22280.0
ENSG00000108826	MRPL27		2579.0
ENSG00000108828	VAT1	198630.0	288684.0
ENSG00000108829	LRRC59		15735.0
ENSG00000108848	LUC7L3	4543.0	21361.0
ENSG00000108861	DUSP3	237827.0	86566.0
ENSG00000108883	EFTUD2		18143.0
ENSG00000108946	PRKAR1A	108779.0	36447.0
ENSG00000109062	SLC9A3R1	317450.0	135356.0
ENSG00000109072	VTN	265440.0	1197384.0
ENSG00000109107	ALDOC	291278.0	109813.0
ENSG00000109111	SUPT6H		548.0
ENSG00000109193	SULT1E1	49822.0	
ENSG00000109320	NFKB1		2153.0
ENSG00000109332	UBE2D3	66948.0	125689.0
ENSG00000109475	RPL34	163440.0	602799.0
ENSG00000109519	GRPEL1	1472.0	23066.0
ENSG00000109534	GAR1		6821.0
ENSG00000109606	DHX15	7199.0	37379.0
ENSG00000109610	SOD3	63125.0	200690.0
ENSG00000109618	SEPSECS	10916.0	
ENSG00000109654	TRIM2		1458.0
ENSG00000109814	UGDH	731267.0	129652.0
ENSG00000109861	CTSC	29667.0	47785.0
ENSG00000109917	ZPR1		2433.0
ENSG00000109971	HSPA8	890916.0	996750.0
ENSG00000110002	VWA5A		10007.0
ENSG00000110013	SIAE	6301.0	13787.0
ENSG00000110047	EHD1	3422.0	12341.0
ENSG00000110048	OSBP	10600.0	11109.0
ENSG00000110063	DCPS	2791.0	27412.0
ENSG00000110075	PPP6R3		3285.0
ENSG00000110090	CPT1A	1549.0	6144.0
ENSG00000110107	PRPF19	4395.0	50948.0
ENSG00000110108	TMEM109		44694.0
ENSG00000110169	HPX	466589.0	1923432.0
ENSG00000110244	APOA4	17696.0	304245.0
ENSG00000110367	DDX6	9645.0	23529.0
ENSG00000110435	PDHX		3810.0
ENSG00000110651	CD81	6468.0	8488.0
ENSG00000110696	C11orf58	22784.0	
ENSG00000110700	RPS13	215652.0	314044.0
ENSG00000110711	AIP	14818.0	28920.0
ENSG00000110799	VWF		452.0
ENSG00000110801	PSMD9	81396.0	56787.0
ENSG00000110880	CORO1C	54612.0	48188.0
ENSG00000110887	DAO	12796.0	
ENSG00000110917	MLEC	14127.0	54306.0
ENSG00000110921	MVK	64292.0	22969.0
ENSG00000110955	ATP5F1B	479658.0	562274.0
ENSG00000110958	PTGES3	70760.0	196997.0
ENSG00000111057	KRT18	171294.0	1062408.0
ENSG00000111058	ACSS3	10643.0	
ENSG00000111142	METAP2	8163.0	7528.0
ENSG00000111144	LTA4H	267842.0	267991.0
ENSG00000111196	MAGOHB	32798.0	72955.0
ENSG00000111229	ARPC3	124386.0	251473.0
ENSG00000111237	VPS29	34900.0	68153.0
ENSG00000111275	ALDH2	667313.0	686128.0
ENSG00000111300	NAA25		1002.0
ENSG00000111348	ARHGDIB	154941.0	170092.0
ENSG00000111361	EIF2B1	18173.0	25978.0
ENSG00000111481	COPZ1	153256.0	206852.0
ENSG00000111530	CAND1	27001.0	56174.0
ENSG00000111540	RAB5B	26691.0	24359.0
ENSG00000111605	CPSF6	19910.0	64592.0
ENSG00000111615	KRR1	735.0	
ENSG00000111640	GAPDH	571342.0	765784.0
ENSG00000111641	NOP2		4824.0
ENSG00000111642	CHD4	89.0	1825.0
ENSG00000111667	USP5	40163.0	53047.0
ENSG00000111669	TPI1	4031537.0	3630188.0
ENSG00000111674	ENO2	62394.0	174334.0
ENSG00000111679	PTPN6	12851.0	17371.0
ENSG00000111713	GYS2	23906.0	
ENSG00000111716	LDHB	106456.0	499536.0
ENSG00000111726	CMAS	17176.0	42008.0
ENSG00000111737	RAB35	1377.0	8984.0
ENSG00000111786	SRSF9		32685.0
ENSG00000111799	COL12A1		16339.0
ENSG00000111802	TDP2		10230.0
ENSG00000111875	ASF1A		9550.0
ENSG00000111906	HDDC2		19575.0
ENSG00000111911	HINT3		9730.0
ENSG00000112062	MAPK14	6552.0	7881.0
ENSG00000112079	STK38		327.0
ENSG00000112081	SRSF3	251971.0	802902.0
ENSG00000112096	SOD2	105760.0	96968.0
ENSG00000112118	MCM3	420.0	6115.0
ENSG00000112186	CAP2	2366.0	
ENSG00000112210	RAB23		7202.0
ENSG00000112293	GPLD1		1390.0
ENSG00000112294	ALDH5A1	41460.0	12024.0
ENSG00000112297	CRYBG1		2912.0
ENSG00000112304	ACOT13	16434.0	143597.0
ENSG00000112305	SMAP1		18917.0
ENSG00000112306	RPS12	504228.0	1219309.0
ENSG00000112335	SNX3	115173.0	171062.0
ENSG00000112562	SMOC2		3347.0
ENSG00000112640	PPP2R5D	3518.0	3003.0
ENSG00000112655	PTK7		7093.0
ENSG00000112667	DNPH1	316179.0	64643.0
ENSG00000112695	COX7A2	27590.0	193388.0
ENSG00000112699	GMDS	16577.0	105362.0
ENSG00000112739	PRPF4B		321.0
ENSG00000112769	LAMA4		195.0
ENSG00000112782	CLIC5		3250.0
ENSG00000112818	MEP1A	256.0	149478.0
ENSG00000112936	C7	14159.0	96898.0
ENSG00000112972	HMGCS1	95973.0	15082.0
ENSG00000112992	NNT	19392.0	18060.0
ENSG00000113013	HSPA9	77824.0	219186.0
ENSG00000113068	PFDN1	59915.0	59579.0
ENSG00000113140	SPARC		66520.0
ENSG00000113194	FAF2		3861.0
ENSG00000113282	CLINT1	15004.0	7824.0
ENSG00000113312	TTC1	4226.0	21878.0
ENSG00000113368	LMNB1		78648.0
ENSG00000113384	GOLPH3	11675.0	24409.0
ENSG00000113387	SUB1	652135.0	938485.0
ENSG00000113407	TARS1	60959.0	112748.0
ENSG00000113441	LNPEP		2023.0
ENSG00000113522	RAD50		5044.0
ENSG00000113552	GNPDA1	22442.0	51849.0
ENSG00000113558	SKP1	22964.0	30995.0
ENSG00000113569	NUP155		3128.0
ENSG00000113600	C9	23684.0	1113105.0
ENSG00000113615	SEC24A	1001.0	
ENSG00000113643	RARS1	28090.0	83460.0
ENSG00000113648	MACROH2A1		140393.0
ENSG00000113649	TCERG1		2076.0
ENSG00000113657	DPYSL3	8970.0	186031.0
ENSG00000113712	CSNK1A1		11810.0
ENSG00000113719	ERGIC1	2847.0	18154.0
ENSG00000113758	DBN1		4846.0
ENSG00000113790	EHHADH	145785.0	7179.0
ENSG00000113889	KNG1	128138.0	293346.0
ENSG00000113905	HRG	142606.0	466701.0
ENSG00000113924	HGD	527601.0	31269.0
ENSG00000114021	NIT2	1070301.0	138637.0
ENSG00000114023	FAM162A		8312.0
ENSG00000114054	PCCB	11080.0	27265.0
ENSG00000114062	UBE3A	1871.0	5610.0
ENSG00000114115	RBP1	15636.0	19613.0
ENSG00000114209	PDCD10		19161.0
ENSG00000114302	PRKAR2A	19105.0	76885.0
ENSG00000114353	GNAI2	78117.0	139007.0
ENSG00000114354	TFG	80041.0	20089.0
ENSG00000114391	RPL24	113382.0	265861.0
ENSG00000114480	GBE1	101273.0	14106.0
ENSG00000114491	UMPS	4439.0	14933.0
ENSG00000114503	NCBP2		8437.0
ENSG00000114520	SNX4	2142.0	2521.0
ENSG00000114573	ATP6V1A	32097.0	49385.0
ENSG00000114771	AADAC	13005.0	
ENSG00000114779	ABHD14B	1209429.0	270604.0
ENSG00000114867	EIF4G1	17815.0	15916.0
ENSG00000115053	NCL	319070.0	820118.0
ENSG00000115073	ACTR1B	23066.0	18563.0
ENSG00000115091	ACTR3	204583.0	480687.0
ENSG00000115128	SF3B6		16745.0
ENSG00000115129	TP53I3	1545.0	18554.0
ENSG00000115145	STAM2	1296.0	
ENSG00000115159	GPD2		1911.0
ENSG00000115211	EIF2B4		1785.0
ENSG00000115233	PSMD14	85166.0	145416.0
ENSG00000115234	SNX17	1482.0	736.0
ENSG00000115241	PPM1G	4699.0	25978.0
ENSG00000115255	REEP6	135471.0	
ENSG00000115268	RPS15	66212.0	76089.0
ENSG00000115271	GCA		39104.0
ENSG00000115275	MOGS		1646.0
ENSG00000115290	GRB14	12226.0	
ENSG00000115306	SPTBN1	54168.0	92982.0
ENSG00000115310	RTN4	392.0	7571.0
ENSG00000115317	HTRA2		1429.0
ENSG00000115364	MRPL19		5457.0
ENSG00000115365	LANCL1	14166.0	688.0
ENSG00000115380	EFEMP1	14888.0	205416.0
ENSG00000115414	FN1	30551.0	433248.0
ENSG00000115415	STAT1	21616.0	49417.0
ENSG00000115419	GLS		4162.0
ENSG00000115425	PECR	35346.0	
ENSG00000115457	IGFBP2		12033.0
ENSG00000115461	IGFBP5		20266.0
ENSG00000115468	EFHD1	2024.0	
ENSG00000115484	CCT4	139304.0	348706.0
ENSG00000115504	EHBP1	2343.0	
ENSG00000115524	SF3B1	502.0	13158.0
ENSG00000115539	PDCL3		11719.0
ENSG00000115540	MOB4	179.0	16714.0
ENSG00000115541	HSPE1	2657714.0	2653082.0
ENSG00000115641	FHL2		33129.0
ENSG00000115677	HDLBP	70720.0	28382.0
ENSG00000115685	PPP1R7	81375.0	78869.0
ENSG00000115718	PROC		14732.0
ENSG00000115760	BIRC6		946.0
ENSG00000115806	GORASP2	21769.0	49277.0
ENSG00000115828	QPCT		42.0
ENSG00000115839	RAB3GAP1		669.0
ENSG00000115866	DARS1	86126.0	146307.0
ENSG00000115875	SRSF7	130677.0	167122.0
ENSG00000115919	KYNU	158705.0	8170.0
ENSG00000115944	COX7A2L		6091.0
ENSG00000115956	PLEK	13123.0	15508.0
ENSG00000116005	PCYOX1	18535.0	10440.0
ENSG00000116030	SUMO1	62613.0	119608.0
ENSG00000116062	MSH6		1138.0
ENSG00000116096	SPR	302345.0	72419.0
ENSG00000116120	FARSB	5960.0	89075.0
ENSG00000116161	CACYBP	133661.0	198084.0
ENSG00000116171	SCP2	511413.0	63872.0
ENSG00000116221	MRPL37		1405.0
ENSG00000116251	RPL22	250005.0	433536.0
ENSG00000116260	QSOX1		46119.0
ENSG00000116266	STXBP3		2032.0
ENSG00000116288	PARK7	4622230.0	1502023.0
ENSG00000116337	AMPD2	9406.0	1784.0
ENSG00000116353	MECR		4386.0
ENSG00000116455	WDR77		26931.0
ENSG00000116459	ATP5PB		3534.0
ENSG00000116473	RAP1A	36171.0	28069.0
ENSG00000116478	HDAC1		9782.0
ENSG00000116489	CAPZA1	91455.0	141229.0
ENSG00000116560	SFPQ	140815.0	211210.0
ENSG00000116649	SRM	11120.0	63608.0
ENSG00000116663	FBXO6	2132.0	
ENSG00000116688	MFN2		167.0
ENSG00000116690	PRG4	426.0	
ENSG00000116701	NCF2		4655.0
ENSG00000116747	RO60	1809.0	17330.0
ENSG00000116750	UCHL5	11515.0	23300.0
ENSG00000116754	SRSF11		8392.0
ENSG00000116761	CTH	773813.0	82950.0
ENSG00000116771	AGMAT	25500.0	26625.0
ENSG00000116774	OLFML3		11559.0
ENSG00000116785	CFHR3	2542.0	2582.0
ENSG00000116791	CRYZ	1250347.0	246905.0
ENSG00000116863	ADPRS	18408.0	4336.0
ENSG00000116882	HAO2	1988.0	
ENSG00000116918	TSNAX	7613.0	26220.0
ENSG00000116962	NID1		1161.0
ENSG00000117054	ACADM	94038.0	62545.0
ENSG00000117118	SDHB		24103.0
ENSG00000117143	UAP1	66711.0	11999.0
ENSG00000117228	GBP1	73583.0	23982.0
ENSG00000117305	HMGCL	14036.0	14310.0
ENSG00000117308	GALE	35236.0	51033.0
ENSG00000117335	CD46		21282.0
ENSG00000117394	SLC2A1	562.0	40130.0
ENSG00000117448	AKR1A1	2249659.0	915842.0
ENSG00000117450	PRDX1	1.2564528E7	5842133.0
ENSG00000117519	CNN3	21468.0	32599.0
ENSG00000117523	PRRC2C		181.0
ENSG00000117528	ABCD3	670.0	1111.0
ENSG00000117592	PRDX6	5671789.0	2000273.0
ENSG00000117593	DARS2		3075.0
ENSG00000117594	HSD11B1	3994.0	
ENSG00000117601	SERPINC1	196989.0	572078.0
ENSG00000117691	NENF	33285.0	22872.0
ENSG00000117748	RPA2	30709.0	36625.0
ENSG00000117751	PPP1R8	3084.0	3682.0
ENSG00000117758	STX12		12620.0
ENSG00000117791	MTARC2	18005.0	
ENSG00000117862	TXNDC12	16499.0	29073.0
ENSG00000117868	ESYT2		7062.0
ENSG00000117877	POLR1G		3062.0
ENSG00000117899	MESD	21908.0	21371.0
ENSG00000117906	RCN2		15045.0
ENSG00000117983	MUC5B		33940.0
ENSG00000117984	CTSD	1546309.0	2633217.0
ENSG00000118113	MMP8		2228.0
ENSG00000118137	APOA1	922850.0	4184121.0
ENSG00000118271	TTR	428838.0	1645030.0
ENSG00000118418	HMGN3	26421.0	
ENSG00000118508	RAB32		10684.0
ENSG00000118514	ALDH8A1	326586.0	26961.0
ENSG00000118520	ARG1	6051936.0	589022.0
ENSG00000118705	RPN2	2876.0	20805.0
ENSG00000118804	STBD1	29519.0	1143.0
ENSG00000118873	RAB3GAP2		3352.0
ENSG00000118898	PPL	6551.0	582.0
ENSG00000118939	UCHL3	316083.0	324730.0
ENSG00000118960	HS1BP3	10063.0	19572.0
ENSG00000119125	GDA	271054.0	44389.0
ENSG00000119139	TJP2	3197.0	5892.0
ENSG00000119203	CPSF3		712.0
ENSG00000119285	HEATR1		218.0
ENSG00000119314	PTBP3		14072.0
ENSG00000119318	RAD23B	637800.0	131512.0
ENSG00000119321	FKBP15	1381.0	1074.0
ENSG00000119335	SET	373739.0	778929.0
ENSG00000119383	PTPA	29241.0	28669.0
ENSG00000119396	RAB14	61964.0	95411.0
ENSG00000119414	PPP6C		3928.0
ENSG00000119421	NDUFA8		17225.0
ENSG00000119431	HDHD3	12473.0	35592.0
ENSG00000119471	HSDL2	30689.0	26516.0
ENSG00000119541	VPS4B	9176.0	14123.0
ENSG00000119596	YLPM1	135.0	
ENSG00000119638	NEK9	573848.0	343510.0
ENSG00000119655	NPC2	130992.0	260072.0
ENSG00000119681	LTBP2		5192.0
ENSG00000119689	DLST	45581.0	126644.0
ENSG00000119705	SLIRP	2004.0	35984.0
ENSG00000119707	RBM25		5982.0
ENSG00000119711	ALDH6A1	335310.0	61699.0
ENSG00000119718	EIF2B2	7111.0	3083.0
ENSG00000119865	CNRIP1	24404.0	15666.0
ENSG00000119888	EPCAM	4542.0	68903.0
ENSG00000119912	IDE	4299.0	29015.0
ENSG00000119917	IFIT3	2932.0	1875.0
ENSG00000119929	CUTC	16422.0	
ENSG00000119953	SMNDC1		8557.0
ENSG00000120008	WDR11		510.0
ENSG00000120053	GOT1	3277744.0	567450.0
ENSG00000120054	CPN1	2197.0	4954.0
ENSG00000120063	GNA13		1765.0
ENSG00000120253	NUP43		11536.0
ENSG00000120265	PCMT1	196848.0	116250.0
ENSG00000120437	ACAT2	252899.0	95152.0
ENSG00000120438	TCP1	199066.0	303375.0
ENSG00000120526	NUDCD1		757.0
ENSG00000120549	KIAA1217		258.0
ENSG00000120594	PLXDC2		8947.0
ENSG00000120686	UFM1	703659.0	859711.0
ENSG00000120694	HSPH1	6045.0	72834.0
ENSG00000120705	ETF1	7441.0	50321.0
ENSG00000120708	TGFBI	20941.0	301833.0
ENSG00000120756	PLS1	14127.0	86053.0
ENSG00000120802	TMPO	20820.0	57222.0
ENSG00000120805	ARL1		34429.0
ENSG00000120860	WASHC3	2220.0	5135.0
ENSG00000120885	CLU	68367.0	418947.0
ENSG00000120896	SORBS3	2896.0	3630.0
ENSG00000120913	PDLIM2	81179.0	11544.0
ENSG00000120915	EPHX2	378985.0	7228.0
ENSG00000120948	TARDBP	57639.0	28386.0
ENSG00000120963	ZNF706		3666.0
ENSG00000120992	LYPLA1	142343.0	172805.0
ENSG00000121022	COPS5	8927.0	5037.0
ENSG00000121053	EPX	4530.0	3169.0
ENSG00000121060	TRIM25	4142.0	16183.0
ENSG00000121310	ECHDC2	77756.0	
ENSG00000121316	PLBD1		2982.0
ENSG00000121390	PSPC1	1028.0	28317.0
ENSG00000121410	A1BG	270770.0	777196.0
ENSG00000121552	CSTA	94553.0	17303.0
ENSG00000121579	NAA50	18492.0	43766.0
ENSG00000121691	CAT	1322631.0	282902.0
ENSG00000121749	TBC1D15	591.0	1324.0
ENSG00000121769	FABP3	102488.0	181160.0
ENSG00000121774	KHDRBS1	35633.0	51231.0
ENSG00000122026	RPL21	162255.0	276314.0
ENSG00000122176	FMOD		15474.0
ENSG00000122194	PLG	69670.0	449762.0
ENSG00000122218	COPA	15177.0	47086.0
ENSG00000122359	ANXA11	91306.0	273053.0
ENSG00000122378	PRXL2A	28726.0	12820.0
ENSG00000122406	RPL5	466062.0	669766.0
ENSG00000122545	SEPTIN7	54062.0	108942.0
ENSG00000122565	CBX3	176576.0	536301.0
ENSG00000122566	HNRNPA2B1	648783.0	1395272.0
ENSG00000122642	FKBP9		8750.0
ENSG00000122643	NT5C3A	851.0	1046.0
ENSG00000122692	SMU1		3471.0
ENSG00000122705	CLTA	22296.0	68213.0
ENSG00000122729	ACO1	520248.0	117712.0
ENSG00000122786	CALD1	348811.0	291270.0
ENSG00000122787	AKR1D1	2446786.0	280431.0
ENSG00000122873	CISD1		30794.0
ENSG00000122884	P4HA1		20633.0
ENSG00000122958	VPS26A	48789.0	149500.0
ENSG00000122971	ACADS	151735.0	35248.0
ENSG00000123130	ACOT9	2027.0	6028.0
ENSG00000123131	PRDX4	40638.0	77604.0
ENSG00000123136	DDX39A		6523.0
ENSG00000123146	ADGRE5		2278.0
ENSG00000123159	GIPC1	4222.0	13665.0
ENSG00000123213	NLN	3810.0	3947.0
ENSG00000123240	OPTN		1082.0
ENSG00000123349	PFDN5	2328.0	63159.0
ENSG00000123384	LRP1	2162.0	613.0
ENSG00000123416	TUBA1B	805108.0	2248717.0
ENSG00000123453	SARDH	10832.0	1413.0
ENSG00000123561	SERPINA7	5010.0	21583.0
ENSG00000123609	NMI	5384.0	
ENSG00000123737	EXOSC9		2864.0
ENSG00000123836	PFKFB2		7620.0
ENSG00000123838	C4BPA	161973.0	304578.0
ENSG00000123908	AGO2		4780.0
ENSG00000123983	ACSL3		5645.0
ENSG00000123992	DNPEP	51945.0	68315.0
ENSG00000124145	SDC4		9537.0
ENSG00000124164	VAPB		14231.0
ENSG00000124172	ATP5F1E	62660.0	146737.0
ENSG00000124193	SRSF6	54248.0	170053.0
ENSG00000124198	ARFGEF2		229.0
ENSG00000124207	CSE1L	244482.0	34483.0
ENSG00000124214	STAU1	17302.0	20413.0
ENSG00000124226	RNF114		7529.0
ENSG00000124228	DDX27		2079.0
ENSG00000124253	PCK1	237995.0	24369.0
ENSG00000124299	PEPD	194623.0	86424.0
ENSG00000124357	NAGK	58652.0	113937.0
ENSG00000124429	POF1B		1069.0
ENSG00000124469	CEACAM8		3312.0
ENSG00000124486	USP9X	1639.0	3923.0
ENSG00000124491	F13A1		5834.0
ENSG00000124523	SIRT5	10584.0	
ENSG00000124562	SNRPC		32812.0
ENSG00000124570	SERPINB6	24759.0	83401.0
